facility_code,facility_label,facility_category,latitude,longitude,district,province,country,data_use
LAB_03,LAB Facility 03,LAB,26.667596,68.001309,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_04,LAB Facility 04,LAB,27.054182,68.213573,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_05,LAB Facility 05,LAB,26.778046,68.302095,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_06,LAB Facility 06,LAB,26.86792,67.986015,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_07,LAB Facility 07,LAB,26.680358,68.282262,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_08,LAB Facility 08,LAB,26.596311,68.128977,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_09,LAB Facility 09,LAB,26.793518,68.005961,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_10,LAB Facility 10,LAB,26.907351,68.195558,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_11,LAB Facility 11,LAB,26.94421,68.122167,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_12,LAB Facility 12,LAB,27.116872,68.138964,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_13,LAB Facility 13,LAB,27.011727,68.128231,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_14,LAB Facility 14,LAB,27.11413,68.418444,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_15,LAB Facility 15,LAB,27.086349,68.321914,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_16,LAB Facility 16,LAB,26.747932,68.164188,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_17,LAB Facility 17,LAB,26.960395,68.181487,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_18,LAB Facility 18,LAB,26.78671,68.131147,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_19,LAB Facility 19,LAB,26.787105,67.938207,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_20,LAB Facility 20,LAB,27.147017,68.221378,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_21,LAB Facility 21,LAB,27.098725,68.342125,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
